Model,Scenario,Region,Variable,Unit,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
AIM/CGE 2.1,CD-LINKS_NPi,World,Primary Energy|Biomass,EJ/yr,49.80399999999999,56.7645,66.9614,76.1649,85.6054,89.5146,97.1957,105.3102,112.4593,122.9451
AIM/CGE 2.1,CD-LINKS_NPi,World,Primary Energy|Fossil,EJ/yr,417.6858,498.8255,562.0735,621.567,664.966,713.4923,757.8088,796.059,835.7699,857.971
AIM/CGE 2.1,CD-LINKS_NPi,World,Primary Energy|Non-Biomass Renewables,EJ/yr,14.4637,21.1941,29.6564,37.5811,45.5613,52.6029,57.5762,61.682,64.4853,70.255
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,R5ASIA,Emissions|CO2,Mt CO2/yr,11118.1233,13764.5834,6494.6576,3415.5028,2887.6295,1455.3372,1006.5339,1228.7585,1373.7638,1134.7492
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,R5ASIA,Primary Energy,EJ/yr,145.4503,185.86,152.1268,159.4528,182.0646,189.0307,194.7717,202.1489,206.5128,207.318
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,R5ASIA,Primary Energy|Biomass,EJ/yr,23.6527,23.9713,26.9722,41.1462,45.0972,48.2828,50.0587,49.8298,49.8724,49.2865
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,R5ASIA,Primary Energy|Fossil,EJ/yr,115.8853,149.9262,84.0836,60.3736,85.5386,82.7672,81.8358,90.2452,94.0154,93.0699
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,R5ASIA,Primary Energy|Non-Biomass Renewables,EJ/yr,4.5364,9.3026,35.4128,53.145,48.3274,54.5889,58.8541,57.6911,57.8781,59.7385
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,R5LAM,Emissions|CO2,Mt CO2/yr,1752.9286,1955.1299,1094.3093,-272.6097,-994.7088,-1462.932,-1310.8609,-1122.66,-1030.9203,-954.3041
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,R5LAM,Primary Energy,EJ/yr,28.0436,33.0089,34.5201,40.8103,47.3082,51.0517,54.6111,58.2692,61.9124,65.1842
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,R5LAM,Primary Energy|Biomass,EJ/yr,4.4182,5.7304,8.7592,17.2967,19.0026,21.5097,23.0894,23.7319,24.9677,26.0349
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,R5LAM,Primary Energy|Fossil,EJ/yr,20.8018,23.7205,20.2419,15.3523,20.2168,19.6857,20.3774,22.8969,24.6254,25.638
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,R5LAM,Primary Energy|Non-Biomass Renewables,EJ/yr,2.71,3.3386,5.1304,7.839,7.8939,9.6736,10.9419,11.4285,12.0943,13.2635
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,R5MAF,Emissions|CO2,Mt CO2/yr,3545.0698,4292.3875,2710.7798,1453.2263,355.8987,-448.7245,-228.2507,-99.3777,-120.9632,-461.0813
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,R5MAF,Primary Energy,EJ/yr,50.1185,63.2988,65.8793,76.9375,102.549,121.0347,140.4563,161.668,180.9822,197.8438
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,R5MAF,Primary Energy|Biomass,EJ/yr,10.682,11.5634,12.8525,18.7787,24.5703,33.0014,39.928,45.2067,50.3343,55.4693
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,R5MAF,Primary Energy|Fossil,EJ/yr,38.8582,50.3051,49.7367,47.1629,64.001,66.6009,73.4678,86.1673,95.2347,100.3287
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,R5MAF,Primary Energy|Non-Biomass Renewables,EJ/yr,0.5048,0.9109,2.3756,9.8484,12.7813,19.9921,25.2414,28.129,32.7979,38.8211
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,R5OECD90+EU,Emissions|CO2,Mt CO2/yr,13558.3238,14241.3641,10181.779,5548.1678,3870.8359,968.9566,13.9215,149.9788,222.9673,-394.6023
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,R5OECD90+EU,Primary Energy,EJ/yr,211.1641,231.8437,222.3359,225.9648,252.8324,264.6834,276.5952,289.5177,299.7478,307.6541
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,R5OECD90+EU,Primary Energy|Biomass,EJ/yr,10.5494,15.039,26.7014,43.5175,48.5685,62.7999,72.658,77.6652,82.6913,88.1489
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,R5OECD90+EU,Primary Energy|Fossil,EJ/yr,186.9954,201.5313,169.8419,137.8014,155.038,144.457,142.0039,148.7726,151.2009,149.633
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,R5OECD90+EU,Primary Energy|Non-Biomass Renewables,EJ/yr,5.6867,6.8545,15.4105,34.1072,40.3499,47.4495,50.9093,51.6624,53.7698,56.8458
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,R5REF,Emissions|CO2,Mt CO2/yr,2875.2714,3231.5664,2418.9373,1073.4334,459.0926,-49.1885,-85.0832,-13.9317,51.9301,17.6091
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,R5REF,Primary Energy,EJ/yr,43.3222,52.1359,48.4208,52.2247,64.7442,67.6801,70.1538,72.9618,75.3795,77.0172
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,R5REF,Primary Energy|Biomass,EJ/yr,0.4739,0.5377,0.937,5.3946,6.1987,8.9837,9.8137,10.2596,10.7959,11.0221
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,R5REF,Primary Energy|Fossil,EJ/yr,40.8083,48.6568,40.1401,32.6607,43.4063,41.3462,41.7333,43.5812,44.2908,43.8277
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,R5REF,Primary Energy|Non-Biomass Renewables,EJ/yr,1.0723,1.4981,5.3123,11.5767,11.9787,13.4977,13.9106,13.3962,13.3144,13.6607
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,World,AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|MED,°C,0.892288882,1.155622196,1.447042219,1.569221896,1.617374666,1.614467766,1.58294457,1.561630952,1.558710098,1.560135221
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,World,Emissions|CO2,Mt CO2/yr,33909.3468,38682.1867,23423.4814,11684.0263,7141.7513,1032.6013,-25.3164,773.4874,1162.8789,20.1297
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,World,Primary Energy,EJ/yr,492.225,582.1141,530.248,561.5937,656.9442,700.9352,744.1080000000001,792.7008,833.0616,863.6652
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,World,Primary Energy|Biomass,EJ/yr,49.7764,56.8418,76.2222,126.1336,143.4373,174.5773,195.5478,206.6931,218.6614,229.9617
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,World,Primary Energy|Fossil,EJ/yr,417.4756,490.1066,371.0092,299.5547,375.6465,362.3118,366.9382,399.7986,417.8939,421.1449
AIM/CGE 2.1,CD-LINKS_NPi2020_1000,World,Primary Energy|Non-Biomass Renewables,EJ/yr,14.5102,21.9047,63.6416,116.5163,121.3311,145.2017,159.8573,162.3073,169.8545,182.3295
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,R5ASIA,Emissions|CO2,Mt CO2/yr,11231.0699,14372.6638,6802.9638,5555.0081,4851.7714,3679.4033,3358.9628,3612.755,3617.7262,2987.1205
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,R5ASIA,Primary Energy,EJ/yr,145.7406,191.127,156.0514,168.051,181.6019,191.098,201.4649,206.3022,209.4784,212.5944
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,R5ASIA,Primary Energy|Biomass,EJ/yr,23.6646,24.128,27.3336,31.7774,37.7556,42.9186,47.2298,46.3451,45.8773,47.8797
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,R5ASIA,Primary Energy|Fossil,EJ/yr,116.193,155.0913,86.6136,86.8001,92.6028,89.4035,92.63600000000001,96.1461,97.6764,96.9756
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,R5ASIA,Primary Energy|Non-Biomass Renewables,EJ/yr,4.5139,9.264,36.3683,44.8068,47.11,54.1898,56.4646,58.0483,59.5515,60.8455
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,R5LAM,Emissions|CO2,Mt CO2/yr,1726.7207,1888.2127,1079.5663,277.5255,-123.9694,-327.8985,-288.623,-40.9872,146.9175,24.8103
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,R5LAM,Primary Energy,EJ/yr,28.0022,32.1358,33.3147,37.332,41.3678,46.4214,50.7057,53.7611,57.0009,61.4503
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,R5LAM,Primary Energy|Biomass,EJ/yr,4.4198,5.6632,8.4028,10.7043,13.5113,17.855,20.2336,20.9319,21.9391,24.6346
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,R5LAM,Primary Energy|Fossil,EJ/yr,20.8406,23.0217,19.6942,20.1782,20.1485,19.3428,20.5208,21.9529,23.345,24.3117
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,R5LAM,Primary Energy|Non-Biomass Renewables,EJ/yr,2.6275,3.2335,4.8313,6.1213,7.452000000000001,8.9667,9.6794,10.5786,11.3952,12.1582
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,R5MAF,Emissions|CO2,Mt CO2/yr,3515.4965,4345.1236,2836.6233,2268.9951,1717.905,1151.7375,1295.5963,1661.0102,1693.0447,1131.9792
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,R5MAF,Primary Energy,EJ/yr,50.5361,63.9218,67.2945,81.3311,97.91799999999999,119.1474,142.7426,160.5701,178.3951,198.8151
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,R5MAF,Primary Energy|Biomass,EJ/yr,10.7167,11.6589,13.1135,16.3984,21.491,30.4143,40.5351,44.8917,49.2562,56.5954
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,R5MAF,Primary Energy|Fossil,EJ/yr,39.2533,50.8871,50.9897,57.5166,63.0565,68.1796,77.3231,85.2767,92.4365,100.2011
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,R5MAF,Primary Energy|Non-Biomass Renewables,EJ/yr,0.4941,0.8867,2.3211,6.3351,12.1108,18.9715,22.9137,27.8891,33.5513,38.1793
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,R5OECD90+EU,Emissions|CO2,Mt CO2/yr,13520.1428,14317.764,10688.5861,8816.918,7346.3554,4867.6898,4192.5269,4464.9154,4397.9877,3371.7704
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,R5OECD90+EU,Primary Energy,EJ/yr,210.7108,233.6314,229.0034,244.574,257.7356,268.6588,281.9462,291.1575,299.5029,308.6106
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,R5OECD90+EU,Primary Energy|Biomass,EJ/yr,10.5975,14.5346,25.1989,33.2883,42.6309,51.3977,60.4542,65.3072,69.8492,75.9664
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,R5OECD90+EU,Primary Energy|Fossil,EJ/yr,186.3366,203.4433,178.04,174.0044,166.4836,159.5661,159.8643,159.3857,158.5391,157.3842
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,R5OECD90+EU,Primary Energy|Non-Biomass Renewables,EJ/yr,5.7085,7.0925,15.2118,26.3494,37.1384,44.1584,46.5564,49.8435,52.8878,55.5893
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,R5REF,Emissions|CO2,Mt CO2/yr,2899.4497,3155.2749,2494.4104,1886.213,1406.282,792.4576,666.4027,843.2166,901.8086,661.6629
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,R5REF,Primary Energy,EJ/yr,43.5337,51.2522,49.0867,56.9858,61.4697,65.5731,69.7695,71.6738,74.0017,76.9353
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,R5REF,Primary Energy|Biomass,EJ/yr,0.4748,0.5407,0.9206,2.7939,5.2529,6.8334,7.8697,8.328,8.783,9.6014
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,R5REF,Primary Energy|Fossil,EJ/yr,41.0367,47.6611,40.9484,43.4431,41.7294,41.9164,44.27399999999999,44.9231,45.6494,46.2888
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,R5REF,Primary Energy|Non-Biomass Renewables,EJ/yr,1.0598,1.615,5.1973,8.1701,11.344,12.9915,12.9548,12.7289,12.6285,12.5844
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,World,AR5 climate diagnostics|Temperature|Global Mean|MAGICC6|MED,°C,0.892289247,1.157686741,1.465715939,1.641865397,1.765079989,1.830190189,1.88063373,1.923433982,1.979542951,2.039751845
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,World,Emissions|CO2,Mt CO2/yr,33953.8904,39252.2177,24445.3488,19392.8449,15833.9838,10806.3148,9903.2324,11263.5854,11511.9539,8941.5908
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,World,Primary Energy,EJ/yr,492.6686,587.7207,541.9851,596.0988,648.5398,699.4328,755.6239,793.0377,828.3067,868.3893
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,World,Primary Energy|Biomass,EJ/yr,49.8736,56.5253,74.9693,94.9623,120.6418,149.419,176.3224,185.8037,195.7048,214.6775
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,World,Primary Energy|Fossil,EJ/yr,417.8053,495.7566,383.5202,389.7671,392.4675,386.9425,403.6132,417.2574,427.5742,435.1448
AIM/CGE 2.1,CD-LINKS_NPi2020_1600,World,Primary Energy|Non-Biomass Renewables,EJ/yr,14.4039,22.0917,63.9298,91.7827,115.1553,139.2778,148.5687,159.0885,170.0146,179.3566
