model,scenario,region,variable,unit,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
AIM-Enduse 12.1,EMF27-Base-FullTech,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply|Electricity,Mt CO2/yr,10168.56,11838.83,12209.24,13804.27,15910.83,17935.58,,,,,
AIM-Enduse 12.1,EMF27-Base-FullTech,World,Price|Carbon,US$2005/t CO2,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
AIM-Enduse 12.1,EMF27-Base-FullTech,World,Primary Energy,EJ/yr,458.20,518.81,545.24,619.43,715.12,816.88,,,,,
AIM-Enduse 12.1,EMF27-Base-FullTech,World,Primary Energy|Coal,EJ/yr,122.98,148.41,168.91,203.63,239.73,274.45,,,,,
AIM-Enduse 12.1,EMF27-Base-FullTech,World,Primary Energy|Fossil|w/ CCS,EJ/yr,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
AIM-Enduse 12.1,EMF27-G8-EERE,ASIA,Emissions|CO2,Mt CO2/yr,10540.74,13152.56,13415.94,10147.89,7637.61,4435.80,,,,,
AIM-Enduse 12.1,EMF27-G8-EERE,ASIA,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,9126.18,11902.47,12264.89,9214.55,7059.13,4197.73,,,,,
AIM-Enduse 12.1,EMF27-G8-EERE,ASIA,Primary Energy,EJ/yr,133.56,168.68,176.70,158.38,175.97,214.79,,,,,
AIM-Enduse 12.1,EMF27-G8-EERE,LAM,Emissions|CO2,Mt CO2/yr,3285.00,3286.52,3106.39,2825.27,1784.31,899.06,,,,,
AIM-Enduse 12.1,EMF27-G8-EERE,LAM,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,1422.06,1640.18,1590.48,1596.08,1022.46,585.53,,,,,
AIM-Enduse 12.1,EMF27-G8-EERE,LAM,Primary Energy,EJ/yr,27.40,31.35,31.20,33.42,41.91,48.99,,,,,
AIM-Enduse 12.1,EMF27-G8-EERE,MAF,Emissions|CO2,Mt CO2/yr,4302.21,4487.02,4091.19,3977.50,3659.80,3336.85,,,,,
AIM-Enduse 12.1,EMF27-G8-EERE,MAF,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,2262.46,2684.44,2431.42,2631.66,2825.65,2993.57,,,,,
AIM-Enduse 12.1,EMF27-G8-EERE,MAF,Primary Energy,EJ/yr,42.68,50.12,47.28,52.42,63.42,74.44,,,,,
AIM-Enduse 12.1,EMF27-G8-EERE,OECD90,Emissions|CO2,Mt CO2/yr,12085.85,12750.81,10276.06,8833.95,5845.24,3473.56,,,,,
AIM-Enduse 12.1,EMF27-G8-EERE,OECD90,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,12000.81,12675.66,10206.87,8777.84,5810.47,3459.25,,,,,
AIM-Enduse 12.1,EMF27-G8-EERE,OECD90,Primary Energy,EJ/yr,193.12,202.25,166.47,152.43,146.52,140.48,,,,,
AIM-Enduse 12.1,EMF27-G8-EERE,REF,Emissions|CO2,Mt CO2/yr,3306.95,3596.74,3453.29,3468.73,3376.25,3058.68,,,,,
AIM-Enduse 12.1,EMF27-G8-EERE,REF,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,3265.30,3559.93,3419.39,3441.25,3359.22,3051.67,,,,,
AIM-Enduse 12.1,EMF27-G8-EERE,REF,Primary Energy,EJ/yr,48.54,52.54,51.16,51.59,55.14,59.27,,,,,
AIM-Enduse 12.1,EMF27-G8-EERE,World,Emissions|CO2,Mt CO2/yr,34492.05,38304.41,35425.96,30395.43,23536.71,16487.83,,,,,
AIM-Enduse 12.1,EMF27-G8-EERE,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29048.12,33493.44,30996.14,26803.48,21310.42,15571.63,,,,,
AIM-Enduse 12.1,EMF27-G8-EERE,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply,Mt CO2/yr,12686.70,14560.75,12278.73,8348.83,5241.57,3370.82,,,,,
AIM-Enduse 12.1,EMF27-G8-EERE,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply|Electricity,Mt CO2/yr,10168.56,11829.72,9951.84,6208.43,3488.80,2054.59,,,,,
AIM-Enduse 12.1,EMF27-G8-EERE,World,Price|Carbon,US$2005/t CO2,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
AIM-Enduse 12.1,EMF27-G8-EERE,World,Primary Energy,EJ/yr,458.20,518.64,487.22,463.48,499.48,555.22,,,,,
AIM-Enduse 12.1,EMF27-G8-EERE,World,Primary Energy|Coal,EJ/yr,122.98,148.34,142.46,81.07,42.23,27.75,,,,,
AIM-Enduse 12.1,EMF27-G8-EERE,World,Primary Energy|Fossil|w/ CCS,EJ/yr,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
GCAM 3.0,AMPERE3-450,World,Emissions|CO2,Mt CO2/yr,31473.40,31678.13,38660.77,45110.97,44768.14,34990.09,19397.62,1208.73,-17387.30,-37099.22,-57844.17
GCAM 3.0,AMPERE3-450,World,Price|Carbon,US$2005/t CO2,0.00,0.00,15.10,24.60,40.07,65.27,106.32,173.18,282.10,459.51,713.42
GCAM 3.0,AMPERE3-450,World,Primary Energy,EJ/yr,460.41,504.35,618.51,743.09,848.71,935.92,1001.75,1091.21,1177.40,1281.61,1418.91
GCAM 3.0,AMPERE3-450,World,Primary Energy|Coal,EJ/yr,120.76,144.95,176.44,204.42,212.84,186.02,138.23,106.98,82.44,36.55,14.89
GCAM 3.0,AMPERE3-450,World,Primary Energy|Fossil|w/ CCS,EJ/yr,0.00,0.00,1.98,13.88,48.84,107.91,150.78,161.99,157.22,115.80,99.55
GCAM 3.0,AMPERE3-450,World,Temperature|Global Mean|MAGICC6|MED,°C,0.72,0.79,1.02,1.32,1.65,1.96,2.21,2.35,2.37,2.30,2.12
GCAM 3.0,AMPERE3-450P-CE,World,Emissions|CO2,Mt CO2/yr,31473.40,31678.14,38603.90,46071.54,43844.74,34636.41,19108.64,1129.57,-17399.41,-37076.52,-57817.45
GCAM 3.0,AMPERE3-450P-CE,World,Price|Carbon,US$2005/t CO2,0.00,0.00,0.00,2.52,33.91,65.26,106.32,173.16,282.08,459.50,713.40
GCAM 3.0,AMPERE3-450P-CE,World,Primary Energy,EJ/yr,460.41,504.35,618.74,753.34,849.79,942.16,1005.56,1092.56,1177.72,1281.71,1418.59
GCAM 3.0,AMPERE3-450P-CE,World,Primary Energy|Coal,EJ/yr,120.76,144.95,178.98,218.24,213.35,192.45,142.64,108.72,82.73,36.89,15.22
